【快递/小包.xlsx】,,,,,,,,,,,,,,,,,
工作号,发货仓库,公司名,货量,创建时间,取件日期(E),派送日期(E),包装件数,重量,体积,材积,货物品名,业务员,签收方式,签出/出仓时间,销售额,货值,CTN/MAWB#
KD23102386146,WNT485,abc,10-15004-091 X 1; 9.120KGS 0.112942CBM,2023-10-18 09:57:11,2023-10-19 23:00:00,2023-10-22 23:00:00,1.00,9.12,0.1129,18.824, Parts,yao ,,2023-10-18 14:13:12,,,
KD23102386140,WNT485,abc,10-04013-142 X 1; 4.000KGS 0.036289CBM,2023-10-18 09:57:10,2023-10-19 23:00:00,2023-10-23 23:00:00,1.00,4.00,0.0363,6.048, Space heater,yao ,,2023-10-18 14:00:01,,,
KD23102386141,WNT485,abc,10-16001-101 X 1; 0.000KGS 0.000000CBM,2023-10-18 09:57:10,2023-10-19 23:00:00,2023-10-22 23:00:00,1.00,0.00,0.00,0.00, Humidifier,yao ,,2023-10-18 14:22:03,,,
KD23102386142,WNT485,abc,10-16003-111 X 1; 3.790KGS 0.033948CBM,2023-10-18 09:57:10,2023-10-19 23:00:00,2023-10-23 23:00:00,1.00,3.79,0.0339,5.658, Humidifier,yao ,,2023-10-18 14:24:41,,,
KD23102386138,WNT485,abc,10-04013-142 X 1; 4.000KGS 0.036289CBM,2023-10-18 09:57:09,2023-10-19 23:00:00,2023-10-24 23:00:00,1.00,4.00,0.0363,6.048, Space heater,yao ,,2023-10-18 14:00:01,,,
KD23102386139,WNT485,abc,10-04002-102 X 1; 10-04003-101 X 1; 10-04006-141 X 1; 10-04001-102 X 1; 5.760KGS 0.161896CBM,2023-10-18 09:57:09,2023-10-19 23:00:00,2023-10-24 23:00:00,4.00,5.76,0.1619,26.983, Space heater Space heater Space heater Space heater,yao ,,2023-10-18 14:11:03,,,
KD23102386134,WNT485,abc,10-04013-142 X 1; 4.000KGS 0.036289CBM,2023-10-18 09:57:08,2023-10-19 23:00:00,2023-10-24 23:00:00,1.00,4.00,0.0363,6.048, Space heater,yao ,,2023-10-18 14:00:01,,,
KD23102386135,WNT485,abc,10-04013-142 X 1; 4.000KGS 0.036289CBM,2023-10-18 09:57:08,2023-10-19 23:00:00,2023-10-24 23:00:00,1.00,4.00,0.0363,6.048, Space heater,yao ,,2023-10-18 14:00:01,,,
KD23102386136,WNT485,abc,10-04013-142 X 1; 4.000KGS 0.036289CBM,2023-10-18 09:57:08,2023-10-19 23:00:00,2023-10-24 23:00:00,1.00,4.00,0.0363,6.048, Space heater,yao ,,2023-10-18 14:00:01,,,
KD23102386137,WNT485,abc,10-04013-142 X 1; 4.000KGS 0.036289CBM,2023-10-18 09:57:08,2023-10-19 23:00:00,2023-10-30 23:00:00,1.00,4.00,0.0363,6.048, Space heater,yao ,,2023-10-18 14:00:01,,,
KD23102386130,WNT485,abc,10-04009-122 X 1; 0.000KGS 0.034336CBM,2023-10-18 09:57:07,2023-10-19 23:00:00,2023-10-23 23:00:00,1.00,0.00,0.0343,5.723, Space heater,yao ,,2023-10-18 13:50:48,,,
KD23102386131,WNT485,abc,10-16001-111 X 1; 0.000KGS 0.000000CBM,2023-10-18 09:57:07,2023-10-19 23:00:00,2023-10-22 23:00:00,1.00,0.00,0.00,0.00, Humidifier,yao ,,2023-10-18 14:18:57,,,
KD23102386132,WNT485,abc,10-04001-102 X 1; 3.100KGS 0.030042CBM,2023-10-18 09:57:07,2023-10-19 23:00:00,,1.00,3.10,0.03,5.007, Space heater,yao ,,2023-10-18 14:11:03,,,
KD23102386133,WNT485,abc,10-04004-105 X 1; 1.750KGS 0.010400CBM,2023-10-18 09:57:07,2023-10-19 23:00:00,2023-10-23 23:00:00,1.00,1.75,0.0104,1.75, Space heater,yao ,,2023-10-18 14:20:52,,,
KD23102386127,WNT485,abc,10-16001-101 X 1; 0.000KGS 0.000000CBM,2023-10-18 09:57:06,2023-10-19 23:00:00,2023-10-22 23:00:00,1.00,0.00,0.00,0.00, Humidifier,yao ,,2023-10-18 14:22:03,,,
KD23102386128,WNT485,abc,10-16001-101 X 1; 0.000KGS 0.000000CBM,2023-10-18 09:57:06,2023-10-19 23:00:00,2023-10-22 23:00:00,1.00,0.00,0.00,0.00, Humidifier,yao ,,2023-10-18 14:22:03,,,
KD23102386129,WNT485,abc,10-04009-122 X 1; 0.000KGS 0.034336CBM,2023-10-18 09:57:06,2023-10-19 23:00:00,2023-10-23 23:00:00,1.00,0.00,0.0343,5.723, Space heater,yao ,,2023-10-18 13:50:48,,,
KD23102386123,WNT485,abc,10-04009-122 X 3; 0.000KGS 0.103008CBM,2023-10-18 09:57:05,2023-10-19 23:00:00,2023-10-24 23:00:00,3.00,0.00,0.103,17.168, Space heater,yao ,,2023-10-18 13:49:23,,,
KD23102386124,WNT485,abc,10-04013-142 X 1; 4.000KGS 0.036289CBM,2023-10-18 09:57:05,2023-10-19 23:00:00,2023-10-24 23:00:00,1.00,4.00,0.0363,6.048, Space heater,yao ,,2023-10-18 14:00:01,,,
KD23102386125,WNT485,abc,10-04013-142 X 1; 4.000KGS 0.036289CBM,2023-10-18 09:57:05,2023-10-19 23:00:00,2023-10-23 23:00:00,1.00,4.00,0.0363,6.048, Space heater,yao ,,2023-10-18 14:00:01,,,
KD23102386126,WNT485,abc,10-04013-142 X 1; 4.000KGS 0.036289CBM,2023-10-18 09:57:05,2023-10-19 23:00:00,2023-10-24 23:00:00,1.00,4.00,0.0363,6.048, Space heater,yao ,,2023-10-18 14:00:01,,,
KD23102386119,WNT485,abc,10-04013-142 X 1; 4.000KGS 0.036289CBM,2023-10-18 09:57:04,2023-10-19 23:00:00,2023-10-23 23:00:00,1.00,4.00,0.0363,6.048, Space heater,yao ,,2023-10-18 14:00:01,,,
KD23102386120,WNT485,abc,10-04004-105 X 1; 1.750KGS 0.010400CBM,2023-10-18 09:57:04,2023-10-19 23:00:00,2023-10-24 23:00:00,1.00,1.75,0.0104,1.75, Space heater,yao ,,2023-10-18 14:20:52,,,
KD23102386121,WNT485,abc,10-01004-121 X 1; 6.240KGS 0.050107CBM,2023-10-18 09:57:04,2023-10-19 23:00:00,2023-10-24 23:00:00,1.00,6.24,0.0501,8.351, Tower Fan,yao ,,2023-10-18 14:17:04,,,
KD23102386122,WNT485,abc,10-04009-122 X 1; 0.000KGS 0.034336CBM,2023-10-18 09:57:04,2023-10-19 23:00:00,2023-10-24 23:00:00,1.00,0.00,0.0343,5.723, Space heater,yao ,,2023-10-18 13:50:48,,,
KD23102386115,WNT485,abc,10-04013-142 X 1; 4.000KGS 0.036289CBM,2023-10-18 09:57:03,2023-10-19 23:00:00,2023-10-25 23:00:00,1.00,4.00,0.0363,6.048, Space heater,yao ,,2023-10-18 14:00:01,,,
KD23102386116,WNT485,abc,10-04013-142 X 1; 4.000KGS 0.036289CBM,2023-10-18 09:57:03,2023-10-19 23:00:00,2023-10-24 23:00:00,1.00,4.00,0.0363,6.048, Space heater,yao ,,2023-10-18 14:00:01,,,
KD23102386117,WNT485,abc,10-04013-142 X 1; 4.000KGS 0.036289CBM,2023-10-18 09:57:03,2023-10-19 23:00:00,2023-10-24 23:00:00,1.00,4.00,0.0363,6.048, Space heater,yao ,,2023-10-18 14:00:01,,,
KD23102386118,WNT485,abc,10-04009-122 X 1; 0.000KGS 0.034336CBM,2023-10-18 09:57:03,2023-10-19 23:00:00,2023-10-24 23:00:00,1.00,0.00,0.0343,5.723, Space heater,yao ,,2023-10-18 13:50:48,,,
KD23102386111,WNT485,abc,10-04013-142 X 1; 4.000KGS 0.036289CBM,2023-10-18 09:57:02,2023-10-19 23:00:00,2023-10-24 23:00:00,1.00,4.00,0.0363,6.048, Space heater,yao ,,2023-10-18 14:00:01,,,
KD23102386112,WNT485,abc,10-04009-122 X 1; 0.000KGS 0.034336CBM,2023-10-18 09:57:02,2023-10-19 23:00:00,2023-10-24 23:00:00,1.00,0.00,0.0343,5.723, Space heater,yao ,,2023-10-18 13:50:48,,,
KD23102386113,WNT485,abc,10-04013-142 X 1; 4.000KGS 0.036289CBM,2023-10-18 09:57:02,2023-10-19 23:00:00,2023-10-24 23:00:00,1.00,4.00,0.0363,6.048, Space heater,yao ,,2023-10-18 14:00:01,,,
KD23102386114,WNT485,abc,10-04009-122 X 2; 0.000KGS 0.068672CBM,2023-10-18 09:57:02,2023-10-19 23:00:00,2023-10-24 23:00:00,2.00,0.00,0.0687,11.445, Space heater,yao ,,2023-10-18 13:49:23,,,
KD23102386108,WNT485,abc,10-04013-142 X 1; 4.000KGS 0.036289CBM,2023-10-18 09:57:01,2023-10-19 23:00:00,2023-10-25 23:00:00,1.00,4.00,0.0363,6.048, Space heater,yao ,,2023-10-18 14:00:01,,,
KD23102386109,WNT485,abc,10-04013-142 X 1; 4.000KGS 0.036289CBM,2023-10-18 09:57:01,2023-10-19 23:00:00,2023-10-23 23:00:00,1.00,4.00,0.0363,6.048, Space heater,yao ,,2023-10-18 14:00:01,,,
KD23102386110,WNT485,abc,10-04001-102 X 1; 3.100KGS 0.030042CBM,2023-10-18 09:57:01,2023-10-19 23:00:00,,1.00,3.10,0.03,5.007, Space heater,yao ,,2023-10-18 14:11:03,,,
KD23102386104,WNT485,abc,10-04013-142 X 1; 4.000KGS 0.036289CBM,2023-10-18 09:57:00,2023-10-19 23:00:00,2023-10-24 23:00:00,1.00,4.00,0.0363,6.048, Space heater,yao ,,2023-10-18 14:00:01,,,
KD23102386105,WNT485,abc,10-04009-122 X 1; 0.000KGS 0.034336CBM,2023-10-18 09:57:00,2023-10-19 23:00:00,2023-10-23 23:00:00,1.00,0.00,0.0343,5.723, Space heater,yao ,,2023-10-18 13:50:48,,,
KD23102386106,WNT485,abc,10-04013-142 X 1; 4.000KGS 0.036289CBM,2023-10-18 09:57:00,2023-10-19 23:00:00,2023-10-23 23:00:00,1.00,4.00,0.0363,6.048, Space heater,yao ,,2023-10-18 14:00:01,,,
KD23102386107,WNT485,abc,10-04013-142 X 1; 4.000KGS 0.036289CBM,2023-10-18 09:57:00,2023-10-19 23:00:00,2023-10-24 23:00:00,1.00,4.00,0.0363,6.048, Space heater,yao ,,2023-10-18 14:00:01,,,
KD23102386100,WNT485,abc,10-16001-101 X 1; 0.000KGS 0.000000CBM,2023-10-18 09:56:59,2023-10-19 23:00:00,2023-10-22 23:00:00,1.00,0.00,0.00,0.00, Humidifier,yao ,,2023-10-18 14:22:03,,,
KD23102386101,WNT485,abc,10-04001-102 X 1; 3.100KGS 0.030042CBM,2023-10-18 09:56:59,2023-10-19 23:00:00,,1.00,3.10,0.03,5.007, Space heater,yao ,,2023-10-18 14:11:03,,,
KD23102386102,WNT485,abc,10-01007-101 X 1; 4.700KGS 0.040403CBM,2023-10-18 09:56:59,2023-10-19 23:00:00,2023-10-20 23:00:00,1.00,4.70,0.0404,6.734, Tower Fan,yao ,,2023-10-18 14:17:04,,,
KD23102386103,WNT485,abc,10-04009-122 X 1; 0.000KGS 0.034336CBM,2023-10-18 09:56:59,2023-10-19 23:00:00,2023-10-24 23:00:00,1.00,0.00,0.0343,5.723, Space heater,yao ,,2023-10-18 13:50:48,,,
KD23102386097,WNT485,abc,10-04013-142 X 1; 4.000KGS 0.036289CBM,2023-10-18 09:56:58,2023-10-19 23:00:00,2023-10-23 23:00:00,1.00,4.00,0.0363,6.048, Space heater,yao ,,2023-10-18 14:00:01,,,
KD23102386098,WNT485,abc,10-04013-142 X 1; 4.000KGS 0.036289CBM,2023-10-18 09:56:58,2023-10-19 23:00:00,2023-10-24 23:00:00,1.00,4.00,0.0363,6.048, Space heater,yao ,,2023-10-18 14:00:01,,,
KD23102386099,WNT485,abc,10-04009-122 X 1; 0.000KGS 0.034336CBM,2023-10-18 09:56:58,2023-10-19 23:00:00,2023-10-24 23:00:00,1.00,0.00,0.0343,5.723, Space heater,yao ,,2023-10-18 13:50:48,,,
KD23102386093,WNT485,abc,10-04013-142 X 1; 4.000KGS 0.036289CBM,2023-10-18 09:56:57,2023-10-19 23:00:00,2023-10-24 23:00:00,1.00,4.00,0.0363,6.048, Space heater,yao ,,2023-10-18 14:00:01,,,
KD23102386094,WNT485,abc,10-04013-142 X 1; 4.000KGS 0.036289CBM,2023-10-18 09:56:57,2023-10-19 23:00:00,2023-10-24 23:00:00,1.00,4.00,0.0363,6.048, Space heater,yao ,,2023-10-18 14:00:01,,,
KD23102386095,WNT485,abc,10-04013-142 X 1; 4.000KGS 0.036289CBM,2023-10-18 09:56:57,2023-10-19 23:00:00,2023-10-23 23:00:00,1.00,4.00,0.0363,6.048, Space heater,yao ,,2023-10-18 14:00:01,,,
KD23102386096,WNT485,abc,10-04009-122 X 1; 0.000KGS 0.034336CBM,2023-10-18 09:56:57,2023-10-19 23:00:00,2023-10-23 23:00:00,1.00,0.00,0.0343,5.723, Space heater,yao ,,2023-10-18 13:50:48,,,
KD23102386089,WNT485,abc,10-04013-142 X 1; 4.000KGS 0.036289CBM,2023-10-18 09:56:56,2023-10-19 23:00:00,2023-10-24 23:00:00,1.00,4.00,0.0363,6.048, Space heater,yao ,,2023-10-18 14:00:01,,,
KD23102386090,WNT485,abc,10-04013-142 X 1; 4.000KGS 0.036289CBM,2023-10-18 09:56:56,2023-10-19 23:00:00,2023-10-23 23:00:00,1.00,4.00,0.0363,6.048, Space heater,yao ,,2023-10-18 14:00:01,,,
KD23102386091,WNT485,abc,10-04007-121 X 1; 0.000KGS 0.000000CBM,2023-10-18 09:56:56,2023-10-19 23:00:00,2023-10-23 23:00:00,1.00,0.00,0.00,0.00, Space heater,yao ,,2023-10-18 14:17:04,,,
KD23102386092,WNT485,abc,10-04013-141 X 1; 0.000KGS 0.000000CBM,2023-10-18 09:56:56,2023-10-19 23:00:00,2023-10-24 23:00:00,1.00,0.00,0.00,0.00, Space heater,yao ,,2023-10-18 14:17:04,,,
KD23102386086,WNT485,abc,10-04013-142 X 1; 4.000KGS 0.036289CBM,2023-10-18 09:56:55,2023-10-19 23:00:00,2023-10-24 23:00:00,1.00,4.00,0.0363,6.048, Space heater,yao ,,2023-10-18 14:00:01,,,
KD23102386087,WNT485,abc,10-04013-142 X 1; 4.000KGS 0.036289CBM,2023-10-18 09:56:55,2023-10-19 23:00:00,2023-10-24 23:00:00,1.00,4.00,0.0363,6.048, Space heater,yao ,,2023-10-18 14:00:01,,,
KD23102386088,WNT485,abc,10-04013-142 X 1; 4.000KGS 0.036289CBM,2023-10-18 09:56:55,2023-10-19 23:00:00,2023-10-24 23:00:00,1.00,4.00,0.0363,6.048, Space heater,yao ,,2023-10-18 14:00:01,,,
KD23102386082,WNT485,abc,10-04004-111 X 1; 0.000KGS 0.051681CBM,2023-10-18 09:56:54,2023-10-19 23:00:00,2023-10-23 23:00:00,1.00,0.00,0.0517,8.614, Space heater,yao ,,2023-10-18 14:17:04,,,
KD23102386083,WNT485,abc,10-15004-091 X 1; 9.120KGS 0.112942CBM,2023-10-18 09:56:54,2023-10-19 23:00:00,2023-10-24 23:00:00,1.00,9.12,0.1129,18.824, Parts,yao ,,2023-10-18 14:13:12,,,
KD23102386084,WNT485,abc,10-16001-111 X 1; 0.000KGS 0.000000CBM,2023-10-18 09:56:54,2023-10-19 23:00:00,2023-10-22 23:00:00,1.00,0.00,0.00,0.00, Humidifier,yao ,,2023-10-18 14:18:57,,,
KD23102386085,WNT485,abc,10-04013-142 X 1; 4.000KGS 0.036289CBM,2023-10-18 09:56:54,2023-10-19 23:00:00,2023-10-23 23:00:00,1.00,4.00,0.0363,6.048, Space heater,yao ,,2023-10-18 14:00:01,,,
KD23102386078,WNT485,abc,10-04001-102 X 1; 3.100KGS 0.030042CBM,2023-10-18 09:56:53,2023-10-19 23:00:00,2023-10-24 23:00:00,1.00,3.10,0.03,5.007, Space heater,yao ,,2023-10-18 14:11:03,,,
KD23102386079,WNT485,abc,10-04001-102 X 1; 3.100KGS 0.030042CBM,2023-10-18 09:56:53,2023-10-19 23:00:00,2023-10-24 23:00:00,1.00,3.10,0.03,5.007, Space heater,yao ,,2023-10-18 14:11:03,,,
KD23102386080,WNT485,abc,10-04001-102 X 1; 3.100KGS 0.030042CBM,2023-10-18 09:56:53,2023-10-19 23:00:00,2023-10-24 23:00:00,1.00,3.10,0.03,5.007, Space heater,yao ,,2023-10-18 14:11:03,,,
KD23102386081,WNT485,abc,10-04001-102 X 1; 3.100KGS 0.030042CBM,2023-10-18 09:56:53,2023-10-19 23:00:00,2023-10-23 23:00:00,1.00,3.10,0.03,5.007, Space heater,yao ,,2023-10-18 14:11:03,,,
KD23102386074,WNT485,abc,10-04001-102 X 1; 3.100KGS 0.030042CBM,2023-10-18 09:56:52,2023-10-19 23:00:00,2023-10-23 23:00:00,1.00,3.10,0.03,5.007, Space heater,yao ,,2023-10-18 14:11:03,,,
KD23102386075,WNT485,abc,10-04001-102 X 1; 3.100KGS 0.030042CBM,2023-10-18 09:56:52,2023-10-19 23:00:00,2023-10-24 23:00:00,1.00,3.10,0.03,5.007, Space heater,yao ,,2023-10-18 14:11:03,,,
KD23102386076,WNT485,abc,10-04001-102 X 1; 3.100KGS 0.030042CBM,2023-10-18 09:56:52,2023-10-19 23:00:00,2023-10-22 23:00:00,1.00,3.10,0.03,5.007, Space heater,yao ,,2023-10-18 14:11:03,,,
KD23102386077,WNT485,abc,10-04001-102 X 1; 3.100KGS 0.030042CBM,2023-10-18 09:56:52,2023-10-19 23:00:00,2023-10-24 23:00:00,1.00,3.10,0.03,5.007, Space heater,yao ,,2023-10-18 14:11:03,,,
KD23102386071,WNT485,abc,10-04001-102 X 1; 3.100KGS 0.030042CBM,2023-10-18 09:56:51,2023-10-19 23:00:00,2023-10-24 23:00:00,1.00,3.10,0.03,5.007, Space heater,yao ,,2023-10-18 14:11:03,,,
KD23102386072,WNT485,abc,10-04004-125 X 1; 10-04001-102 X 1; 3.100KGS 0.081723CBM,2023-10-18 09:56:51,2023-10-19 23:00:00,2023-10-24 23:00:00,2.00,3.10,0.0817,13.621, Space heater Space heater,yao ,,2023-10-18 14:11:03,,,
KD23102386073,WNT485,abc,10-04001-102 X 1; 3.100KGS 0.030042CBM,2023-10-18 09:56:51,2023-10-19 23:00:00,2023-10-24 23:00:00,1.00,3.10,0.03,5.007, Space heater,yao ,,2023-10-18 14:11:03,,,
KD23102386070,WNT485,abc,10-04001-102 X 1; 3.100KGS 0.030042CBM,2023-10-18 09:56:50,2023-10-19 23:00:00,2023-10-24 23:00:00,1.00,3.10,0.03,5.007, Space heater,yao ,,2023-10-18 14:11:03,,,
KD23102386069,WNT485,XXXXX,G3912-8754CEN033WUS X 1; 20.000KGS 0.125970CBM,2023-10-18 09:26:09,2023-10-18 23:00:00,2023-10-23 23:00:00,1.00,20.00,0.126,20.995, 侧杠,客服2 ,,2023-10-18 15:05:55,,,
KD23102386068,WNT485,Kannegiesser,PAKHJ03 X 2; 45KGS 0.061CBM,2023-10-18 08:46:27,2023-10-17 23:00:00,2023-10-24 23:00:00,2.00,45.00,0.061,45.00," Pake Handling Tools Hydraulic Jack, 5T",wang chen,,2023-10-18 12:16:48,,,
KD23102386067,WNT485,XXXXX,3522TCM0132US X 1; 3.200KGS 0.032657CBM,2023-10-18 07:26:20,2023-10-17 23:00:00,2023-10-19 23:00:00,1.00,3.20,0.0327,5.443, 尾箱垫,客服2 ,,2023-10-18 10:52:22,,,
KD23102386066,20450,,VB6N132G X 4; 100KGS 0.3494CBM,2023-10-18 06:59:33,2023-10-17 23:00:00,,4.00,100.00,0.3494,100.00, VB6N132G,yao ,,2023-10-18 13:08:37,,USD960.00,
KD23102386065,8828 Houston,maria olivarez,UC-EM001WUS X 2; 24KGS 0.1304CBM,2023-10-18 06:39:51,2023-10-17 23:00:00,2023-10-18 23:00:00,2.00,24.00,0.1304,24.00, 咖啡机01,客服2 ,,2023-10-18 07:48:26,,,
KD23102386064,WNT485,Clark Lewey,PAKFM03 X 1; 29.48KGS 0.0833CBM,2023-10-18 06:36:22,2023-10-17 23:00:00,2023-10-24 23:00:00,1.00,29.48,0.0833,29.48," Pake Handling Tools Manual Machinery Mover, 1100 lbs",wang chen,,2023-10-18 12:12:19,,,
KD23102386063,WNT485,Andy Moghina,PAKPP04 X 1; 6.35KGS 0.0403CBM,2023-10-18 06:32:31,2023-10-17 23:00:00,2023-10-20 23:00:00,1.00,6.35,0.0403,6.721,,wang chen,,2023-10-18 12:13:25,,,
KD23102386062,8828 Houston,Daniela Garces,UC-EM001WUS X 1; 12KGS 0.0652CBM,2023-10-18 06:28:19,2023-10-17 23:00:00,2023-10-21 23:00:00,1.00,12.00,0.0652,12.00, 咖啡机01,客服2 ,,2023-10-18 07:45:35,,,
KD23102386061,WNT485,XXXXX,8497FFM2383US X 1; 15.200KGS 0.084000CBM,2023-10-18 06:26:18,2023-10-17 23:00:00,2023-10-23 23:00:00,1.00,15.20,0.084,15.20, 脚垫,客服2 ,,2023-10-18 10:59:18,,,
KD23102386060,WNT485,BIOFORGE LABS,PAKDC01 X 1; 15KGS 0.0447CBM,2023-10-18 06:09:41,2023-10-17 23:00:00,2023-10-24 23:00:00,1.00,15.00,0.0447,15.00,,wang chen,,2023-10-18 12:14:14,,,
KD23102386059,WNT485,Lindsey Eisenhut,PAKLT01 X 1; 40.5KGS 0.1049CBM,2023-10-18 06:07:36,2023-10-17 23:00:00,2023-10-21 23:00:00,1.00,40.50,0.1049,40.50," Pake Handling Tools Hydraulic Manual Scissor Lift Table, 500lbs",wang chen,,2023-10-18 12:14:37,,,
KD23102386058,WNT485,Judd P Burke,PAKPP04 X 2; 12.7KGS 0.0806CBM,2023-10-18 06:06:01,2023-10-17 23:00:00,2023-10-24 23:00:00,2.00,12.70,0.0806,13.433,,wang chen,,2023-10-18 12:11:43,,,
KD23102386057,WNT485,"Hardin Industries, LLCPO231914",PAKPC02 X 1; 7.2KGS 0.0052CBM,2023-10-18 06:04:32,2023-10-17 23:00:00,2023-10-24 23:00:00,1.00,7.20,0.0052,7.20,,wang chen,,2023-10-18 12:15:47,,,
KD23102386056,WNT485,Kyle BaltruschPOPO-WFLRM-3717,PAKDC01 X 1; 15KGS 0.0447CBM,2023-10-18 06:02:40,2023-10-17 23:00:00,2023-10-24 23:00:00,1.00,15.00,0.0447,15.00,,wang chen,,2023-10-18 12:16:28,,,
KD23102386054,NJ9,Aseel Aliyan,06PBESBF-Q X 1; 19.520KGS 0.070552CBM,2023-10-18 03:41:14,2023-10-17 23:00:00,2023-10-20 23:00:00,1.00,19.52,0.0706,19.52," 6"" Modern Metal Platform Bed with Wood Slat Support - Mattress Foundation - No Box Spring Needed, Queen",客服2 ,,2023-10-18 06:46:08,,,
KD23102386053,WNT485,Amazon,P12V20A-BCHA-A X 48; P24V20A-BCHA-A X 12; 78KGS 0.1544CBM,2023-10-18 03:10:41,2023-10-17 23:00:00,2023-10-20 23:00:00,60.00,78.00,0.1544,78.00, PQ 14.6V 20A PQ 29.2V 20A,客服2 ,,2023-10-18 10:33:08,,USD3792.00,
KD23102386052,WNT485,Jerry A Ridgeway II,48V 120Ah X 1; 49.6KGS 0.0347CBM,2023-10-18 03:07:04,2023-10-17 23:00:00,2023-10-24 23:00:00,1.00,49.60,0.0347,49.60, 48V 120Ah,客服2 ,,2023-10-18 08:43:50,,USD200.00,
KD23102386051,8828 Houston,gregory buchwald,B-P12V190-150-BASIC-4-A150 X 1; 20.000KGS 0.048919CBM,2023-10-18 02:45:31,2023-10-17 23:00:00,2023-10-20 23:00:00,1.00,20.00,0.0489,20.00, PQ 12.8V190AH,客服2 ,,2023-10-18 07:38:03,,USD389.00,
KD23102386050,8828 Houston,santo caceres,B-P12V100-100-BASIC-4-A100 X 1; 10.800KGS 0.029869CBM,2023-10-18 02:45:15,2023-10-17 23:00:00,2023-10-21 23:00:00,1.00,10.80,0.0299,10.80, PQ12.8V 100AH,客服2 ,,2023-10-18 07:38:02,,USD218.00,
KD23102386049,WNT485,Eduardo Velasquez,L-SW275A-H X 2; 0.608KGS 0.0009CBM,2023-10-18 02:36:41,2023-10-17 23:00:00,2023-10-23 23:00:00,2.00,0.608,9.0E-4,0.608, LT 开关275A,客服2 ,,2023-10-18 09:22:39,,USD200.00,
